species	gene	segment	id.1	id.2	cdr1.score	cdr2.score	segm.score
HomoSapiens	TRA	J	TRAJ10*01	TRAJ10*01			0
HomoSapiens	TRA	J	TRAJ10*01	TRAJ11*01			-31
HomoSapiens	TRA	J	TRAJ10*01	TRAJ12*01			-28
HomoSapiens	TRA	J	TRAJ10*01	TRAJ13*01			-30
HomoSapiens	TRA	J	TRAJ10*01	TRAJ14*01			-25
HomoSapiens	TRA	J	TRAJ10*01	TRAJ15*01			-28
HomoSapiens	TRA	J	TRAJ10*01	TRAJ17*01			-35
HomoSapiens	TRA	J	TRAJ10*01	TRAJ18*01			-36
HomoSapiens	TRA	J	TRAJ10*01	TRAJ20*01			-30
HomoSapiens	TRA	J	TRAJ10*01	TRAJ21*01			-27
HomoSapiens	TRA	J	TRAJ10*01	TRAJ22*01			-26
HomoSapiens	TRA	J	TRAJ10*01	TRAJ23*01			-27
HomoSapiens	TRA	J	TRAJ10*01	TRAJ24*01			-29
HomoSapiens	TRA	J	TRAJ10*01	TRAJ26*01			-33
HomoSapiens	TRA	J	TRAJ10*01	TRAJ27*01			-33
HomoSapiens	TRA	J	TRAJ10*01	TRAJ28*01			-31
HomoSapiens	TRA	J	TRAJ10*01	TRAJ29*01			-28
HomoSapiens	TRA	J	TRAJ10*01	TRAJ30*01			-37
HomoSapiens	TRA	J	TRAJ10*01	TRAJ3*01			-27
HomoSapiens	TRA	J	TRAJ10*01	TRAJ31*01			-27
HomoSapiens	TRA	J	TRAJ10*01	TRAJ32*01			-24
HomoSapiens	TRA	J	TRAJ10*01	TRAJ33*01			-40
HomoSapiens	TRA	J	TRAJ10*01	TRAJ34*01			-27
HomoSapiens	TRA	J	TRAJ10*01	TRAJ36*01			-27
HomoSapiens	TRA	J	TRAJ10*01	TRAJ37*01			-30
HomoSapiens	TRA	J	TRAJ10*01	TRAJ38*01			-40
HomoSapiens	TRA	J	TRAJ10*01	TRAJ39*01			-32
HomoSapiens	TRA	J	TRAJ10*01	TRAJ40*01			-17
HomoSapiens	TRA	J	TRAJ10*01	TRAJ4*01			-31
HomoSapiens	TRA	J	TRAJ10*01	TRAJ41*01			-32
HomoSapiens	TRA	J	TRAJ10*01	TRAJ42*01			-28
HomoSapiens	TRA	J	TRAJ10*01	TRAJ43*01			-28
HomoSapiens	TRA	J	TRAJ10*01	TRAJ44*01			-14
HomoSapiens	TRA	J	TRAJ10*01	TRAJ45*01			-35
HomoSapiens	TRA	J	TRAJ10*01	TRAJ46*01			-24
HomoSapiens	TRA	J	TRAJ10*01	TRAJ47*01			-26
